"REGION","CLASS","LABNR","C14AGE","C14STD","C13","MATERIAL","COUNTRY","SITE","LAT","LONG","FEATURE","FEATURE_DESC","DEPTH","LITHICS","POTTERY","IRON","FRUIT","REMARK","SOURCES"
"A","IIb","Beta-12858",1920,60,"-","-","CMR","Mfomakap/Nkometou",4.05,11.55,"-","Pit","-","-","-","-","-","according to Garcin et al. 2018 from Elouga 1998; but not to be found there","Garcin et al. 2018"
"A","Ia","Beta-143016",2340,70,"-","-","CMR","Bwambé-Sommet (Est)",2.89,9.9,"2","Pit","0.3","-","Bwambé/Mpoengu","-","-","","Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2"
"A","Ia","Beta-143017",2520,70,"-","-","CMR","Bwambé-Sommet (Est)",2.89,9.9,"4","Pit","","-","Bwambé/Mpoengu","-","-","","Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2"
"A","Ib","Beta-143018",2000,40,"-","-","CMR","Campo",2.38,9.83,"CAM 00","Trench","","-","indet","-","-","","Oslisly et al. 2006; Eggert/Seidensticker 2016:65 Tab. 4.1"
"A","Ib","Beta-146654",1670,70,"-","-","CMR","Bandewouri 1",3.06,10.18,"-","Layer","-","-","indet","-","-","","Oslisly et al. 2000; Garcin et al. 2018"
"A","Ia","Beta-146655",2200,60,"-","-","CMR","Bwambé-Sommet (Est)",2.89,9.9,"1","Pit","0.2","-","Bwambé/Mpoengu","slag","Eg","","Eggert et al. 2006: 277 Tab. 2; Oslisly 2006: 131; Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2"
"A","Ia","Beta-146656",2030,80,"-","-","CMR","Bwambé-Sommet (Est)",2.89,9.9,"9","Pit","","-","Bwambé/Mpoengu","-","-","","Oslisly 2006; Nlend Nlend 2013/2014: 257 Tab. 44; Eggert/Seidensticker 2016:78 Tab. 4.2"
"A","Ia","Beta-146657",2340,60,"-","-","CMR","Bwambé-Sommet (Est)",2.89,9.9,"11","Pit","0.4","-","Bwambé/Mpoengu","-","-","","Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2"
"A","Ib","Beta-146658",1760,70,"-","-","CMR","Bwambé-Sommet (Est)",2.89,9.9,"-","Layer","0.3","indet","indet","-","-","","Nlend Nlend 2013/2014: 155; Eggert/Seidensticker 2016:78 Tab. 4.2"
"A","Ia","Beta-146659",1710,60,"-","-","CMR","Campo",2.38,9.83,"00/1","Pit","","-","Campo","-","-","","Oslisly et al. 2006; Eggert/Seidensticker 2016:65 Tab. 4.1"
"A","Ib","Beta-146660",1940,70,"-","-","CMR","Campo",2.38,9.83,"CAM Campo2/Pit 1","Pit","","-","indet","-","-","","Oslisly et al. 2006; Eggert/Seidensticker 2016:65 Tab. 4.1"
"A","Ib","Beta-146661",1820,80,"-","-","CMR","Kribi Hotel",2.93,9.9,"-","Trench","0.225","-","indet","-","-","","Oslisly et al. 2006: 130; Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2"
"A","Ib","Beta-156376",1570,70,"-","-","CMR","Boussibilinga 1",2.74,9.88,"BOS 1 1","Pit","0.5","indet","indet","object","-","","Nlend Nlend 2013/2014: 204; Eggert/Seidensticker 2016:83 Tab. 4.2"
"A","Ib","Beta-156377",550,70,"-","-","CMR","Bwambe-Beach",2.9,9.9,"BWB D1","Layer","0.4","-","indet","-","-","","Nlend Nlend 2013/2014: 170; Eggert/Seidensticker 2016:83 Tab. 4.2"
"A","Ia","Beta-156378",2240,70,"-","-","CMR","Bwambé-Sommet (Est)",2.89,9.9,"BWS 12","Pit","0.3","-","Malongo/Bissiang","-","-","","Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2"
"A","Ia","Beta-156379",2360,70,"-","-","CMR","Bwambé-Sommet (Est)",2.89,9.9,"BWS 16","Pit","0.3","-","Malongo/Bissiang","-","-","","Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2"
"A","Ia","Beta-156380",2550,90,"-","-","CMR","Bwambé-Sommet (Est)",2.89,9.9,"BWS 17","Pit","0.1","-","Malongo/Bissiang","-","-","","Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2"
"A","Ia","Beta-156381",2240,90,"-","-","CMR","Bwambé-Sommet (Est)",2.89,9.9,"BWS 19","Pit","0.7","-","Malongo/Bissiang","-","-","","Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2"
"A","Ia","Beta-156382",2410,60,"-","-","CMR","Bwambé-Sommet (Est)",2.89,9.9,"BWS 2","Pit","1.3","-","Bwambé/Mpoengu","-","-","","Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2"
"A","Ia","Beta-156383",2460,70,"-","-","CMR","Bwambé-Sommet (Est)",2.89,9.9,"BWS 2","Pit","2.2","-","Malongo/Bissiang","-","-","","Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2"
"A","Ia","Beta-156384",1830,70,"-","-","CMR","Campo",2.38,9.83,"CAM 00/3","Burial","","-","Campo","object","-","","Oslisly et al. 2006; Eggert/Seidensticker 2016:65 Tab. 4.1"
"A","Ia","Beta-156385",1780,60,"-","-","CMR","Campo",2.38,9.83,"CAM 00/2","Pit","","-","Campo","-","-","","Oslisly et al. 2006; Eggert/Seidensticker 2016:65 Tab. 4.1"
"A","Ia","Beta-156387",2340,60,"-","-","CMR","Malongo 1",2.73,9.87,"2","Pit","","-","Malongo/Bissiang","-","-","","Oslisly et al. 2006: 130; Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2"
"A","Ib","Beta-156388",1900,50,"-","-","CMR","Nlendé Dibe 3",2.76,9.88,"-","Layer","0.225","-","indet","-","-","","Oslisly et al. 2006: 130; Nlend Nlend 2013/2014: 194; Eggert/Seidensticker 2016:83 Tab. 4.2"
"A","Ic","Beta-15800",222,70,"-","-","CMR","Pong Solo",4.12,11.28,"-","-","-","-","-","-","-","described within group of other dates, but clearly related to some form of human activity","Elouga 1998: 222"
