"ID","POTTERY","FROM","TO","DESCRIPTION","REGION"
1,"Obobogo",-1200,400,"The oldest known pottery in central southern Cameroon is named after the site of Obobogo, south of Yaoundé (Claes 1985), and has been discovered at multiple sites in the area (Essomba 1989; Atangana 1988; Mbida Mindzié 1995). Rescue excavations at the site of Dibambe, south of Douala, have yielded a very similar pottery inventory, classified as ‘tradition E’ (de Saulieu et al. 2017, 36). The 14C-dates associated with this kind of pottery span the entire 1st millennium BC, with three dates even falling into the second half of the 2nd millennium BC.","A"
2,"Malongo/Bissiang",-1000,0,"The oldest pottery in the coastala area of southern Cameroon has been described by Gouem Gouem (2010, 330–341) reefing to inventories from the site of Bissiang. Nlend Nlend (2013, 233–249) based his analysis on the inventory from Malongo in order to describe the very same set of ceramics. The 14C-dates associated with this kind of pottery cover the entire 1st milliennium BC.","A"
3,"Bwambé/Mpoengu",-700,0,"More or less contemporenous and still to be found within the coast areas of southern Cameroon the Mpoengu/ Bwambé group has been described by Gouem Gouem (2010, 352–358) and Nlend Nlend (2013, 255) respectively. While the vessels shapes and ornament is different from the Bissang/Malongo group, the 14C-Dates indicate that the Mpoengu/Bwambé group is only slightly younger, dating from the 7th to 1st c. BC, while the bulk of dates are contemporagnous with those being associated to Bissang/Malongo ceramics.","A"
4,"Dibamba E",-800,-400,"At the site of Dibamba a pottery with striking similarities to the pottery from the Yaoundé area, summed up within the Obobogo group, as well as to the Malongo/Bissiang group from the coastal areas further south, has been identified as oldest phase (de Saulieu et al. 2017, 36). Two 14C-dates cover the 8th to 5th c. AD.","A"
5,"Dibamba D",0,400,"The second phase encountered at the site of Dibamba dates into the 1st to 4th c. AD and shows some resemblance to the pottery uncovered at Campo (de Saulieu et al. 2017, 34–36). Even more resemblance can be observed compared to the pottery found south at the mouth of the Sanaga river, at Mouanko Lobethal (Eggert 2002).","A"
6,"Campo",0,400,"The Campo group was first described by Nlend Nlend (Nlend Nlend 2013) and additional data, as well as a detailed description of formal and ornamental attributes of the ceramics, have been published within the final report of the excavations conducted at the eponymous site (Eggert and Seidensticker 2016).","A"
7,"Akonetye North",0,400,"The formal aspects and decoration first found at the southern site of Akonétye (Meister and Eggert 2008, 186–193) show similarities to the Bissiang/Malongo group, while the available 14C-dates for are cover the first half of the 1st millennium AD.","A"
8,"Akonetye South",0,400,"A roughly contemporaneous to the inventory found at the southern site but stylistically very different pottery has been found at the northern site of Akonétye (Meister and Eggert 2008, 193–196). Additonal material of this pottery group has been found during further east at Minyin (Meister and Eggert 2008, 196–197) and Akom (de Saulieu, Ngouoh, and Oslisly 2015, 413 Fig. 6). Six 14C-dates from these sites indicate the 1st to 4th c. AD as the phase of this pottery. ","A"
9,"Bidjouka",50,600,"According to (Gouem Gouem 2010) a second phase of the Early Iron Age in southern Cameroon is represented by the Bidjouka potter, described at the sites Bidjouka, Bidou, Kribi-Talla and Kribi-Mpoengu. The available chronological data indicate a date between the 1st and 7th c. AD (Gouem Gouem 2010/2011: 371 Fig. 33.6). The Bidjouka pottery is largely contemporaneous to the Campo groups, but shows different vessels shapes and decorational patters.","A"
10,"Dibamba C",1000,1300,"Substantially younger and marking the third phase at Dibamba, pottery associated with the Type C was dated into the 11th to 13th c. AD (de Saulieu et al. 2017, 32).","A"
11,"Dibamba B",1300,1700,"A very diverse set of well decorated ceramics found prominently at the site of Dibamba and described as Type C has been dated to the 14th to 17th c. AD (de Saulieu et al. 2017, 31–32). Similar pottery was found further south, close to the mouth of the Sanaga river at Mounako Lobethal (Eggert 2002; de Saulieu et al. 2017, 32).","A"
