"LABNR","C14AGE","C14STD","MATERIAL","COUNTRY","REGION","SITE","LAT","LONG","CLASS","LITHICS","POTTERY","IRON","SOURCES"
"SacA-31426",1880,70,"Charcoal_endocarp_elaeis","CMR","A","Akom",2.4,12.42,"Ia relevant dates, strong archaeological context","-","Akonetye North","object","de Saulieu et al. 2015: 405 Tab. 1, 413 Fig. 6; Garcin et al. 2018"
"SacA-31427",1950,30,"Charcoal_endocarp_elaeis","CMR","A","Akom",2.4,12.42,"Ia relevant dates, strong archaeological context","-","Akonetye South","object","de Saulieu et al. 2015: 406 Tab. 1: 410 Fig. 5; Garcin et al. 2018"
"SacA-32566",1925,30,"-","CMR","A","Akom",2.4,12.42,"Ia relevant dates, strong archaeological context","-","Akonetye South","-","de Saulieu et al. 2015: 406 Tab. 1: 410 Fig. 5; Garcin et al. 2018"
"KIA-27027",1747,32,"Charcoal_endocarp_elaeis","CMR","A","Akonetye",2.48,11.17,"Ia relevant dates, strong archaeological context","-","Akonetye South","object","Meister/Eggert 2008; Eggert/Seidensticker 2016:82 Tab. 4.2"
"KIA-27030",1815,21,"-","CMR","A","Akonetye",2.48,11.17,"Ia relevant dates, strong archaeological context","-","Akonetye South","-","Meister/Eggert 2008; Eggert/Seidensticker 2016:82 Tab. 4.2"
"KIA-33061",1808,25,"Charcoal_endocarp_elaeis","CMR","A","Akonetye",2.48,11.17,"Ia relevant dates, strong archaeological context","-","Akonetye North","-","Meister/Eggert 2008; Eggert/Seidensticker 2016:82 Tab. 4.2"
"KIA-33062",1924,26,"Charcoal_endocarp_elaeis","CMR","A","Akonetye",2.48,11.17,"Ia relevant dates, strong archaeological context","-","Akonetye North","-","Meister/Eggert 2008; Eggert/Seidensticker 2016:82 Tab. 4.2"
"KIA-33063",1885,25,"Charcoal_endocarp_elaeis","CMR","A","Akonetye",2.48,11.17,"Ia relevant dates, strong archaeological context","-","Akonetye North","-","Meister/Eggert 2008; Eggert/Seidensticker 2016:82 Tab. 4.2"
"KIA-33064",1855,24,"Charcoal_endocarp_elaeis","CMR","A","Akonetye",2.48,11.17,"Ia relevant dates, strong archaeological context","-","Akonetye North","-","Meister/Eggert 2008; Eggert/Seidensticker 2016:82 Tab. 4.2"
"KIA-33065",1934,26,"Charcoal","CMR","A","Akonetye",2.48,11.17,"Ia relevant dates, strong archaeological context","-","Akonetye North","-","Meister/Eggert 2008; Eggert/Seidensticker 2016:82 Tab. 4.2"
"Ly-5203",2370,65,"-","CMR","A","Avoh",4.27,11.24,"Ia relevant dates, strong archaeological context","-","Obobogo","-","Elouga 1998; Clist 2004/2005: 724 Tab. 8-3"
"Beta-182551",1580,80,"-","CMR","A","Bidjouka",3.14,10.5,"Ia relevant dates, strong archaeological context","-","Bidjouka","-","Lavachery et al. 2010: 175; Gouem Gouem 2010/2011: 583; Eggert/Seidensticker 2016:83 Tab. 4.2"
"Beta-182552",1480,70,"-","CMR","A","Bidjouka",3.14,10.5,"Ia relevant dates, strong archaeological context","-","Bidjouka","-","Lavachery et al. 2010: 175; Gouem Gouem 2010/2011: 585; Eggert/Seidensticker 2016:83 Tab. 4.2"
"Beta-182550",1530,70,"-","CMR","A","Bidou",3.03,10.08,"Ia relevant dates, strong archaeological context","-","Bidjouka","-","Lavachery et al. 2010: 175; Gouem Gouem 2010/2011: 593; Eggert/Seidensticker 2016:83 Tab. 4.2"
"Beta-182548",2550,60,"-","CMR","A","Bissiang",3,10.02,"Ia relevant dates, strong archaeological context","indet","Malongo/Bissiang","-","Lavachery et al. 2010: 175; Gouem Gouem 2010/2011: 524; Eggert/Seidensticker 2016:77 Tab. 4.2"
"Beta-182549",2770,70,"-","CMR","A","Bissiang",3,10.02,"Ia relevant dates, strong archaeological context","indet","Malongo/Bissiang","-","Lavachery et al. 2010: 175; Gouem Gouem 2010/2011: 515; Eggert/Seidensticker 2016:77 Tab. 4.2"
