"SITE","REGION","LAT","LONG","N_POTTERYSTYLES","N_DATES","N_DATES_CLASS_Ia","N_DATES_CLASS_Ib","N_DATES_CLASS_Ic","N_DATES_CLASS_Id","N_DATES_CLASS_II","N_DATES_CLASS_III"
"Abang Minko'o","A",2.33,11.42,1,6,0,6,0,0,0,0
"Abong Mbang","A",3.99,13.18,0,1,0,0,0,0,1,0
"Akak 1","A",5.51,9.37,0,1,0,1,0,0,0,0
"Akok Benyat 2","A",2.4,10.07,0,3,0,0,0,0,3,0
"Akom","A",2.4,12.42,2,3,3,0,0,0,0,0
"Akonetye","A",2.48,11.17,3,22,7,15,0,0,0,0
"Avebe","A",2.41,12.54,0,1,0,1,0,0,0,0
"Avoh","A",4.27,11.24,1,1,1,0,0,0,0,0
"Bafounda","A",5.54,10.33,0,1,0,0,0,0,1,0
"Bafoussam","A",5.55,10.32,0,1,0,0,0,0,1,0
"Bagofit","A",3.39,13.86,0,3,0,3,0,0,0,0
"Bali River","A",5.77,14.22,0,2,0,1,0,0,1,0
"Bandewouri 1","A",3.06,10.18,0,1,0,1,0,0,0,0
"Bankouop","A",5.63,10.58,0,1,0,0,0,0,1,0
"Bertoua","A",4.49,13.62,0,2,0,0,0,0,2,0
"Bidjouka","A",3.14,10.5,1,2,2,0,0,0,0,0
"Bidou","A",3.03,10.08,1,1,1,0,0,0,0,0
"Binguela II","A",3.74,11.37,0,3,0,3,0,0,0,0
"Bissiang","A",3,10.02,1,2,2,0,0,0,0,0
"Bonda","A",2.19,16.08,1,0,0,0,0,0,0,0
"Bonga","A",1.93,15.67,2,0,0,0,0,0,0,0
"Boulou River","A",1.92,15.78,0,1,0,0,0,0,1,0
"Boussibilinga 1","A",2.74,9.88,0,1,0,1,0,0,0,0
"Bwambe-Beach","A",2.9,9.9,0,6,0,6,0,0,0,0
"Bwambé-Sommet (Est)","A",2.89,9.9,2,22,18,4,0,0,0,0
"Campo","A",2.38,9.83,2,34,21,8,0,0,5,0
"Campo Beach","A",2.35,9.83,0,1,0,1,0,0,0,0
"Dibamba","A",4,9.82,5,43,39,3,0,0,1,0
"Dombè","A",2.96,9.95,1,2,2,0,0,0,0,0
"Doumba","A",4.58,12.22,0,1,0,1,0,0,0,0
"Ebolowa","A",2.9,11.24,0,1,0,0,0,0,1,0
"Eboundja 3","A",2.79,9.89,0,3,0,2,0,0,1,0
"Edea","A",3.82,10.11,0,1,0,0,0,0,1,0
