"FROM","TO","rcarbon","MODEL"
-1885,-1820,"negative","uniform"
-1801,-731,"negative","uniform"
-1759,-762,"negative","exponential"
-1707,-771,"negative","linear"
-703,-555,"negative","uniform"
-429,458,"positive","linear"
-420,462,"positive","exponential"
-403,538,"positive","uniform"
-374,-152,"positive","logistic"
-21,418,"positive","logistic"
472,528,"positive","exponential"
479,512,"positive","linear"
570,1295,"negative","logistic"
593,1307,"negative","linear"
619,1305,"negative","exponential"
666,1048,"negative","uniform"
1389,1462,"negative","exponential"
1391,1470,"negative","linear"
1397,1397,"negative","logistic"
1422,1460,"negative","logistic"
1618,1899,"positive","uniform"
1675,1750,"positive","logistic"
1789,1899,"positive","logistic"
1924,1899,"positive","logistic"
