"FROM","TO","rcarbon","MODEL"
254,299,"negative","uniform"
317,611,"negative","uniform"
346,560,"negative","linear"
357,572,"negative","exponential"
1008,1016,"positive","uniform"
1008,1014,"positive","exponential"
1016,1039,"positive","exponential"
1026,1036,"positive","linear"
1032,1041,"positive","uniform"
1137,1160,"positive","linear"
1542,1556,"negative","exponential"
1627,1690,"negative","exponential"
1643,1668,"negative","logistic"
1649,1675,"negative","linear"
1742,1816,"negative","exponential"
1929,1899,"negative","exponential"
1937,1899,"negative","exponential"
